"oem","model","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","features_sensors","platform_os"
"TECNO","Pouvoir 3",2019,"2019","157.6 x 76.7 x 8.5 mm (6.20 x 3.02 x 0.33 in)",168,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches","720 x 1500 pixels (~268 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 8.1 (Oreo)"
"TECNO","Spark 3",2019,"2019","155.3 x 75.8 x 8.2 mm (6.11 x 2.98 x 0.32 in)",NA,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches","720 x 1500 pixels (~268 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9.0 (Pie)"
"TECNO","Spark 3 Pro",2019,"2019","154.3 x 75.5 x 7.9 mm (6.07 x 2.97 x 0.31 in)",NA,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches","720 x 1500 pixels (~268 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9.0 (Pie)"
"TECNO","Spark Go",2019,"2019","156.1 x 75 x 9.2 mm (6.15 x 2.95 x 0.36 in)",174,"Dual SIM","IPS LCD capacitive touchscreen, 16M colors","6.1 inches","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9.0 (Pie)"
"TECNO","Pop 2 F",2019,"2019","149.8 x 72.8 x 9.4 mm (5.90 x 2.87 x 0.37 in)",155,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.45 inches","480 x 960 pixels, 18:9 ratio (~197 ppi density)","Fingerprint (rear-mounted), accelerometer","Android 8.1 Oreo (Go edition)"
"TECNO","Pop 2 Plus",2019,"2019","161.7 x 78.9 x 9.6 mm (6.37 x 3.11 x 0.38 in)",205,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches","480 x 960 pixels, 18:9 ratio (~179 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 8.1 Oreo (Go edition)"
"TECNO","Phantom 9",2019,"2019","158.5 x 75.3 x 7.9 mm (6.24 x 2.96 x 0.31 in)",164.4,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.39 inches","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"Tel.Me.","T918",2003,NA,"111 x 50 x 20.5 mm (4.37 x 1.97 x 0.81 in)",125,"Mini-SIM","CSTN touchscreen, 65K colors",NA,"128 x 160 pixels","V1",NA
"Tel.Me.","T919i",2003,NA,"126 x 56 x 24 mm (4.96 x 2.20 x 0.94 in)",134,"Mini-SIM","CSTN resistive touchscreen, 32K colors",NA,"128 x 256 pixels, 18:9 ratio","V1",NA
"Tel.Me.","T919",2003,NA,"126 x 56 x 24 mm (4.96 x 2.20 x 0.94 in)",115,"Mini-SIM","CSTN resistive touchscreen, 32K colors",NA,"256 x 128 pixels, 18:9 ratio","V1",NA
"Tel.Me.","T909c",NA,NA,"129 x 44 x 18 mm (5.08 x 1.73 x 0.71 in)",80,"Mini-SIM","Monochrome graphic",NA,"112 x 64 pixels, 16:9 ratio","V1",NA
"Telit","C1000",2005,NA,"86 x 48 x 15.6 mm (3.39 x 1.89 x 0.61 in)",74.5,"Mini-SIM","TFT resistive touchscreen, 256K colors",NA,"128 x 160 pixels","V1",NA
"Telit","T91",2004,NA,"85 x 43.5 x 21.9 mm (3.35 x 1.71 x 0.86 in)",85,"Mini-SIM","TFT, 65K colors",NA,"128 x 160 pixels","V1",NA
"Telit","T90",2004,NA,"85 x 43.5 x 21.9 mm (3.35 x 1.71 x 0.86 in)",85,"Mini-SIM","TFT, 65K colors",NA,"128 x 160 pixels","V1",NA
"Telit","NEO",2004,NA,"99 x 44 x 18 mm (3.90 x 1.73 x 0.71 in)",65,"Mini-SIM","TFT, 65K colors",NA,"128 x 128 pixels, 1:1 ratio","V1",NA
"Telit","G83",2003,NA,"108 x 45 x 20 mm (4.25 x 1.77 x 0.79 in)",90,"Mini-SIM","TFT, 65K colors",NA,"128 x 160 pixels","V1",NA
"Telit","G80",2002,NA,"105 x 60 x 23 mm (4.13 x 2.36 x 0.91 in)",96,"Mini-SIM","CSTN, 65K colors",NA,"160 x 120 pixels, 4:3 ratio","Barometer, altimeter",NA
"Telit","G82",2002,NA,"114 x 53 x 27 mm (4.49 x 2.09 x 1.06 in)",90,"Mini-SIM","CSTN, 4096 colors",NA,"128 x 96 pixels, 4:3 ratio","V1",NA
"Telit","G40",2003,NA,"105 x 46 x 18.5 mm (4.13 x 1.81 x 0.73 in)",75,"Mini-SIM","Monochrome graphic",NA,"101 x 80 pixels","V1",NA
"Telit","GM 882",2002,NA,"107 x 54 x 22 mm (4.21 x 2.13 x 0.87 in)",100,"Mini-SIM","Monochrome graphic",NA,"132 x 65 pixels, 18.5:9 ratio","V1",NA
"Telit","GM 810",1999,NA,"117 x 51 x 18 mm (4.61 x 2.01 x 0.71 in)",105,"Mini-SIM","Monochrome graphic",NA,"4 lines","V1",NA
"Telit","Estremo",1999,NA,"134 x 53 x 24 mm (5.28 x 2.09 x 0.94 in)",176,"Mini-SIM","Monochrome graphic",NA,"4 lines","V1",NA
"Telit","GM 710",1999,NA,"117 x 51 x 18 mm (4.61 x 2.01 x 0.71 in)",105,"Mini-SIM","Monochrome graphic",NA,"4 lines","V1",NA
"Ulefone","Note 8P",2020,"2020","141.7 x 66.5 x 12 mm (5.58 x 2.62 x 0.47 in)",153,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches","442 x 960 pixels, 19.5:9 ratio (~192 ppi density)","Accelerometer","Android 10 (Go edition)"
"Ulefone","Armor X7 Pro",2020,"2020","150 x 78.9 x 14.6 mm (5.91 x 3.11 x 0.57 in)",234,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 10"
"Ulefone","Armor 7E",2020,"2020","165.9 x 81 x 13.6 mm (6.53 x 3.19 x 0.54 in)",290,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, heart rate, baroceptor, coulombmeter","Android 9.0 (Pie)"
"Ulefone","Armor X7",2020,"2020","150 x 78.9 x 14.6 mm (5.91 x 3.11 x 0.57 in)",234,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 10"
"Ulefone","Armor 7",2019,"2019","165.9 x 81 x 13.6 mm (6.53 x 3.19 x 0.54 in)",290,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, heart rate, baroceptor, coulombmeter","Android 9.0 (Pie)"
